id,click,I1,I2,C1,C2,C3,C4,C5,C6,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
0,0,5,20,421256035,2377199148,2696211399,2298910535,3133252034,1509930964,1,0,0,0,0,0,0,0,,,,780.0
1,0,5,20,2581703001,2589684548,1998340283,2411205997,3202148071,1238839469,0,2,1,1,0,0,0,0,,,,0.0
2,0,5,20,2581703001,1862037199,2448089184,2411205997,1107442947,3668889797,2,1,0,0,0,0,1,0,,,,117.0
3,0,5,20,421256035,3874378935,1658216424,2298910535,2321672976,1509930964,1,0,0,0,0,0,0,0,6.0,6.0,34501.0,390.0
4,1,5,20,421256035,3874378935,1892769125,2411205997,2321672976,1509930964,1,0,0,0,0,0,0,0,1.0,31.0,12557.0,390.0
5,0,5,20,421256035,1537671376,3788069208,2411205997,1410458339,3668889797,2,0,0,0,0,0,1,0,1.0,2.0,477559.0,91.0
6,0,5,20,2581703001,1862037199,3950375036,1825710598,3351654386,3111151614,1,1,0,0,0,0,0,1,241.0,2.0,5102285.0,26.0
7,1,5,20,421256035,1537671376,3889790948,1332932160,1410458339,3668889797,2,0,0,0,0,0,0,0,4.0,29.0,251667.0,130.0
8,0,5,20,421256035,1088910726,3862505502,2298910535,2321672976,1509930964,1,0,0,0,0,0,0,0,2.0,4.0,1550.0,364.0
9,0,5,20,421256035,3874378935,1892769125,2411205997,2321672976,1509930964,1,0,0,0,0,0,1,0,3.0,2.0,78520.0,390.0
